                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3175,                 4.7705,                 4.2005,                0.00072,                0.18728,                0.00045,                0.00014,                 3.1731,                 5.3005,                  4.154,                 0.0003,                 0.0003,                 0.0003
                      2,                 3.5509,                 4.6678,                 4.1582,                0.00073,                0.19081,                0.00045,                0.00015,                 3.1646,                 5.2659,                 4.1347,             0.00061877,             0.00061877,             0.00061877
                      3,                 3.4428,                 4.0988,                 4.0301,                 0.0008,                0.20848,                0.00053,                0.00017,                 3.1509,                 5.1579,                 4.1194,             0.00093628,             0.00093628,             0.00093628
                      4,                 3.2206,                 3.5943,                 3.7083,                0.00091,                0.23675,                0.00079,                0.00023,                 3.1313,                 5.0642,                  4.048,              0.0012525,              0.0012525,              0.0012525
                      5,                 3.1488,                 3.2096,                 3.5279,                0.00176,                0.45936,                0.00206,                0.00054,                 3.1267,                 4.9102,                 3.7812,              0.0015675,              0.0015675,              0.0015675
                      6,                 2.9197,                 3.1962,                 3.2305,                0.02255,                0.09187,                0.00739,                0.00197,                 2.9285,                  8.495,                 3.8619,              0.0018812,              0.0018812,              0.0018812
                      7,                 2.8086,                 2.9826,                 3.1783,                0.02127,                0.24382,                0.01075,                0.00312,                 3.1522,                 24.941,                 4.2589,              0.0019762,              0.0019762,              0.0019762
                      8,                 2.6811,                 2.6406,                 3.0273,                0.09611,                0.22968,                0.05275,                0.01447,                 2.8753,                 5.4757,                 4.4246,              0.0019762,              0.0019762,              0.0019762
                      9,                  2.585,                 2.5853,                 2.8984,                0.29184,                0.25088,                0.13106,                0.03525,                 2.8232,                 3.2276,                 3.5257,              0.0019723,              0.0019723,              0.0019723
                     10,                 2.4762,                 2.3555,                  2.821,                0.00882,                0.09894,                 0.0088,                 0.0031,                  3.248,                  20.41,                 32.127,              0.0019683,              0.0019683,              0.0019683
                     11,                 2.3882,                 2.3359,                 2.6814,                0.49324,                0.28622,                0.29276,                0.12357,                 2.4814,                 2.8063,                  3.411,              0.0019644,              0.0019644,              0.0019644
                     12,                 2.2875,                 2.2348,                 2.5953,                0.44585,                 0.3639,                0.34824,                0.11616,                 2.3739,                 3.7373,                 2.6447,              0.0019604,              0.0019604,              0.0019604
                     13,                 2.2033,                 2.0779,                 2.5538,                0.41046,                0.46996,                 0.3574,                0.11499,                 2.3023,                 2.6163,                 2.5883,              0.0019564,              0.0019564,              0.0019564
                     14,                 2.1077,                 2.0524,                  2.477,                0.29298,                0.42403,                0.30152,                0.12941,                 1.9864,                 2.6231,                 2.4677,              0.0019525,              0.0019525,              0.0019525
                     15,                  2.047,                 2.0095,                  2.384,                0.28745,                0.44876,                0.30134,                0.14043,                 1.8516,                  3.159,                  2.413,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.9925,                 1.8388,                 2.3461,                0.35306,                0.40989,                0.31146,                0.14852,                 1.8135,                 2.6728,                 2.3961,              0.0019446,              0.0019446,              0.0019446
                     17,                 1.8316,                 1.6467,                 2.2082,                0.59301,                0.56184,                0.55448,                0.26814,                 1.7722,                 1.8769,                 2.2284,              0.0019406,              0.0019406,              0.0019406
                     18,                 1.8347,                 1.6501,                 2.1899,                0.67762,                0.54219,                0.60282,                 0.3093,                 1.8376,                   1.91,                 2.2239,              0.0019366,              0.0019366,              0.0019366
                     19,                 1.7817,                 1.5894,                 2.1799,                0.65003,                 0.5053,                0.55523,                0.31744,                 1.6373,                 1.9028,                  2.139,              0.0019327,              0.0019327,              0.0019327
                     20,                 1.6647,                 1.6153,                 2.0983,                 0.6531,                0.62191,                0.67691,                 0.3759,                 1.5635,                  1.521,                 2.0389,              0.0019287,              0.0019287,              0.0019287
                     21,                 1.6209,                  1.502,                 2.0565,                0.71054,                0.57244,                0.68598,                0.41179,                 1.5169,                  1.572,                 1.9029,              0.0019248,              0.0019248,              0.0019248
                     22,                 1.6794,                 1.5452,                 2.0551,                0.82554,                0.65018,                0.77846,                0.44923,                  1.472,                 1.4083,                 1.8627,              0.0019208,              0.0019208,              0.0019208
                     23,                 1.5339,                  1.418,                 1.9744,                0.77756,                0.64229,                0.75703,                0.45783,                 1.4064,                 1.4362,                 1.8649,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.5916,                 1.3979,                 2.0008,                0.68795,                0.59205,                0.68811,                0.42655,                 1.4548,                  1.476,                 1.9722,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.5284,                 1.3663,                  1.945,                0.71051,                0.66078,                0.71454,                0.44925,                 1.3753,                 2.0746,                 1.8362,              0.0019089,              0.0019089,              0.0019089
                     26,                  1.494,                 1.3421,                 1.8706,                  0.851,                0.71025,                0.83044,                0.46244,                 1.4672,                 1.2585,                 1.9326,               0.001905,               0.001905,               0.001905
                     27,                 1.4802,                 1.3008,                   1.88,                0.85004,                0.73852,                0.82563,                0.53205,                 1.2519,                 1.2043,                  1.723,               0.001901,               0.001901,               0.001901
                     28,                 1.5108,                 1.3292,                 1.9153,                0.83642,                0.77694,                 0.8688,                0.58372,                 1.2121,                 1.0912,                  1.667,               0.001897,               0.001897,               0.001897
                     29,                 1.4135,                 1.1933,                 1.7751,                0.87347,                0.77739,                0.87383,                0.57885,                 1.1664,                 1.0298,                 1.6226,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.4158,                 1.1829,                 1.7708,                0.77534,                 0.7439,                0.83098,                0.55862,                 1.2392,                 1.1263,                  1.637,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.4076,                 1.2586,                 1.7852,                0.86439,                0.76325,                 0.8638,                0.57038,                 1.1993,                 1.1483,                 1.6339,              0.0018852,              0.0018852,              0.0018852
                     32,                  1.348,                 1.2019,                  1.746,                0.74878,                0.75265,                0.82703,                0.57826,                 1.1544,                 1.2605,                 1.5932,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.2997,                 1.1314,                 1.6939,                0.87926,                0.78445,                0.87871,                0.58494,                 1.1492,                  1.013,                 1.5922,              0.0018772,              0.0018772,              0.0018772
                     34,                  1.313,                 1.1796,                 1.6877,                0.88579,                0.79152,                0.87993,                0.57983,                 1.1874,                 1.1963,                 1.6189,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.2758,                 1.0919,                 1.6704,                0.86201,                0.77032,                0.88085,                0.59145,                 1.1676,                 1.0032,                 1.5421,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.3362,                 1.1169,                 1.7186,                0.92362,                0.76918,                0.89868,                0.59706,                 1.1894,                0.94631,                 1.5705,              0.0018654,              0.0018654,              0.0018654
                     37,                  1.264,                 1.0367,                 1.6233,                0.86968,                0.78092,                0.85281,                0.56419,                 1.1776,                 1.2049,                 1.5729,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.3048,                 1.0984,                 1.6826,                0.94419,                0.65763,                0.77409,                0.50503,                 1.3285,                 1.3794,                 1.6989,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.2416,                 1.0106,                 1.5807,                0.89757,                0.68124,                0.84067,                0.55405,                 1.1978,                 1.0462,                 1.5731,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.2728,                 1.0446,                 1.6211,                0.89196,                0.78763,                0.88465,                0.62732,                 1.1078,                 1.0497,                 1.4972,              0.0018495,              0.0018495,              0.0018495
